Games,Console,Edition,Developer,Publisher,Year,New,Box,Manual,Genre,
Biohazard 5,Playstation 3,Japanese,CAPCOM,CAPCOM,2009,No,Yes,Yes,Survival Horror / Third-Person Shooter,
Bejeweled 3,Playstation 3,European,PopCap,Electronic Arts,2010,No,Yes,No,Puzzle,
Batman: Arkham Asylum Platinum,Playstation 3,European,Rocksteady Studios,Eidos Interactive,2009,No,Yes,Yes,Action-Adventure,
Batman Arkham City Game of the Year Edition,Playstation 3,European,Rocksteady Studios,Warner Bros,2011,No,Yes,Yes,Action-Adventure,
Angry Birds Star Wars,Playstation 3,European,Rovio,Activision,2012,No,Yes,No,Puzzle,
UEFA Euro 2004,Playstation 2,European,Electronic Arts,Electronic Arts,2004,No,Yes,Yes,Sports (Football),
Tony Hawk's Proving Ground,Playstation 2,European,Neversoft,Activision,2007,No,Yes,Yes,Sports (Skateboarding),
TOCA Race Driver 2,Playstation 2,European,Codemasters,Codemasters,2004,No,No,Yes,Racing,
Tiger Woods PGA Tour 2004 Platinum Edition,Playstation 2,European,Electronic Arts,Electronic Arts,2003,No,Yes,Yes,Sports (Golf),
Star Wars: Episode III – Revenge of the Sith,Playstation 2,European,The Collective,LucasArts,2005,No,Yes,Yes,Action-Adventure / Beat 'em Up,
Spider-Man 2,Playstation 2,European,Vicarious Visions,Activision,2004,No,No,Yes,Action-Adventure,
Socom II: U.S. Navy Seals Platinum,Playstation 2,European,Zipper Interactive,Sony Computer Entertainment,2003,No,No,Yes,Tactical Shooter,
NHL 2004,Playstation 2,European,Electronic Arts,Electronic Arts,2003,No,Yes,Yes,Sports (Ice Hockey),
NHL 2002,Playstation 2,European,Electronic Arts,Electronic Arts,2001,No,Yes,Yes,Sports (Ice Hockey),
NHL 07,Playstation 2,European,Electronic Arts,Electronic Arts,2006,No,Yes,Yes,Sports (Ice Hockey),
Need for Speed: Underground,Playstation 2,European,Electronic Arts,Electronic Arts,2003,No,Yes,Yes,Racing,
Need for Speed: Hot Pursuit 2,Playstation 2,European,Electronic Arts,Electronic Arts,2002,No,Yes,Yes,Racing,
Medal of Honor: Frontline,Playstation 2,European,Electronic Arts,Electronic Arts,2002,No,No,Yes,First-Person Shooter,
James Bond 007: Everything or Nothing,Playstation 2,European,Electronic Arts,Electronic Arts,2004,No,Yes,Yes,Third-Person Shooter / Action-Adventure,
Heatseeker,Playstation 2,European,Red Mile Entertainment,Codemasters,2007,No,Yes,Yes,Combat Flight Simulator,
Ford vs Chevy,Playstation 2,European,Eutechnyx,2K Games,2005,No,No,Yes,Racing,
FIFA 2005,Playstation 2,European,Electronic Arts,Electronic Arts,2004,No,No,Yes,Sports (Football),
